05-25-31-36-46-+8    (2017/03/15 M)  n°    5  |..X.. |1278460| |   m10=|.X......X.X.X..X.|  (...1. | 1.111)|   m49=|...xXx...|..........|....xXx...|xXx..xXx..|.....xXx..| 
01-06-18-30-33-+2    (2017/03/18 S)  n°    6  |X.... | 225818| |   m10=|X.X...X...XX.....|  (1..2. | 11...)|   m49=|Xx..xXx..|.......xXx|.........x|XxxXx.....|..........| 
13-28-39-40-42-+1    (2017/03/20 L)  n°    7  |.X... | 840449| |   m10=|....X....X...2X..|  (.1..2 | ..11.)|   m49=|.........|..xXx.....|.......xXx|........xX|XxXx......| 
02-11-25-28-43-+5    (2017/03/22 M)  n°    8  |.X... | 870289| |   m10=|X..X....XX....X..|  (11..1 | ..2..)|   m49=|xXx......|xXx.......|....xXxxXx|..........|..xXx.....| 
02-05-08-43-49-+1    (2017/03/25 S)  n°    9  |...X. |1824277| |   m10=|XXX...........X.X|  (1...1 | 2...1)|   m49=|xXxxXxxXx|..........|..........|..........|..xXx...xX| 
02-09-18-38-49-+8    (2017/03/27 L)  n°   10  |...X. |1779059| |   m10=|X..X..X.....X...X|  (1.... | 11.11)|   m49=|xXx....xX|x......xXx|..........|.......xXx|........xX| 
10-14-25-26-35-+5    (2017/03/29 M)  n°   11  |X.... | 293018| |   m10=|...XX...2..X.....|  (.2... | ..21.)|   m49=|........x|Xx.xXx....|....xXXx..|....xXx...|..........| 
02-09-25-44-46-+9    (2017/04/01 S)  n°   12  |..X.. |1347223| |   m10=|X..X....X.....XX.|  (1...1 | 1.1.1)|   m49=|xXx....xX|x.........|....xXx...|..........|...xXxXx..| 
03-09-16-34-44-+3    (2017/04/03 L)  n°   13  |.X... |1004004| |   m10=|.X.X.X.....X..X..|  (1..11 | 11...)|   m49=|.xXx...xX|x....xXx..|..........|...xXx....|...xXx....| 
06-10-20-40-42-+10   (2017/04/05 M)  n°   14  |.X... | 832660| |   m10=|..XX..X......XX..|  (.11.2 | 1....)|   m49=|....xXx.x|Xx.......x|Xx........|.........x|XxXx......| 
17-18-29-44-45-+5    (2017/04/08 S)  n°   15  |..X.. |1212847| |   m10=|.....XX..X....XX.|  (....1 | .21.1)|   m49=|.........|......xXXx|........xX|x.........|...xXXx...| 
01-03-11-14-20-+2    (2017/04/10 L)  n°   16  |X.... |  12465| |   m10=|XX.XX.X..........|  (221.. | .....)|   m49=|XxXx.....|xXxxXx...x|Xx........|..........|..........| 
03-18-28-40-48-+7    (2017/04/12 M)  n°   17  |...X. |1619254| |   m10=|.X....X..X...X..X|  (1...1 | .11.1)|   m49=|.xXx.....|.......xXx|.......xXx|.........x|Xx.....xXx| 
28-29-40-41-49-+5    (2017/04/15 S)  n°   18  |...X. |1813239| |   m10=|.........2...2..X|  (....2 | ..2.1)|   m49=|.........|..........|.......xXX|x........x|XXx.....xX| 
04-08-33-36-46-+7    (2017/04/17 L)  n°   19  |..X.. |1279104| |   m10=|.XX........XX..X.|  (1..1. | 1..11)|   m49=|..xXx.xXx|..........|..........|..xXxxXx..|.....xXx..| 
38-39-41-47-48-+9    (2017/04/19 M)  n°   20  |...X. |1707745| |   m10=|............X2.XX|  (....1 | ...22)|   m49=|.........|..........|..........|.......xXX|xXx...xXXx| 
01-17-21-31-46-+5    (2017/04/22 S)  n°   21  |..X.. |1250425| |   m10=|X....X.X..X....X.|  (1.11. | .1..1)|   m49=|Xx.......|......xXx.|xXx.......|xXx.......|.....xXx..| 
07-28-41-42-45-+9    (2017/04/24 L)  n°   22  |..X.. |1197516| |   m10=|..X......X...XXX.|  (....2 | 1.1.1)|   m49=|.....xXx.|..........|.......xXx|..........|xXXxxXx...| 
06-08-14-16-27-+5    (2017/04/26 M)  n°   23  |X.... |  67458| |   m10=|..2.XX...X.......|  (.1... | 211..)|   m49=|....xXxXx|...xXxXx..|......xXx.|..........|..........| 
34-37-44-46-48-+9    (2017/04/29 S)  n°   24  |...X. |1695939| |   m10=|...........XX.XXX|  (...11 | ...12)|   m49=|.........|..........|..........|...xXxxXx.|...xXxXxXx| 
16-18-35-37-46-+6    (2017/05/01 L)  n°   25  |..X.. |1286800| |   m10=|.....XX....XX..X.|  (..... | .2.21)|   m49=|.........|.....xXxXx|..........|....xXxXx.|.....xXx..| 
06-15-20-27-46-+3    (2017/05/03 M)  n°   26  |..X.. |1237775| |   m10=|..X..XX..X.....X.|  (..1.. | 111.1)|   m49=|....xXx..|....xXx..x|Xx....xXx.|..........|.....xXx..| 
06-27-34-41-45-+5    (2017/05/06 S)  n°   27  |..X.. |1183185| |   m10=|..X......X.X.X.X.|  (...11 | 1.1.1)|   m49=|....xXx..|..........|......xXx.|...xXx....|xXx.xXx...| 
07-22-33-43-47-+6    (2017/05/08 L)  n°   28  |..X.. |1487861| |   m10=|..X....X...X..XX.|  (..111 | 1...1)|   m49=|.....xXx.|..........|.xXx......|..xXx.....|..xXx.xXx.| 
12-20-22-30-43-+9    (2017/05/10 M)  n°   29  |.X... | 875932| |   m10=|....X.XX..X...X..|  (.1211 | .....)|   m49=|.........|.xXx.....x|XxXx.....x|Xx........|..xXx.....| 
09-13-16-28-47-+10   (2017/05/13 S)  n°   30  |..X.. |1388834| |   m10=|...XXX...X.....X.|  (.1... | 111.1)|   m49=|.......xX|x.xXxxXx..|.......xXx|..........|......xXx.| 
01-05-13-22-27-+1    (2017/05/15 L)  n°   31  |X.... |  71992| |   m10=|XX..X..X.X.......|  (111.. | 1.1..)|   m49=|Xx.xXx...|..xXx.....|.xXx..xXx.|..........|..........| 
06-22-25-30-44-+7    (2017/05/17 M)  n°   32  |.X... | 988589| |   m10=|..X....XX.X...X..|  (..111 | 1.1..)|   m49=|....xXx..|..........|.xXxxXx..x|Xx........|...xXx....| 
28-31-33-34-42-+3    (2017/05/20 S)  n°   33  |.X... | 795741| |   m10=|.........XX2..X..|  (...31 | ..1..)|   m49=|.........|..........|.......xXx|xXxXXx....|.xXx......| 
07-21-22-27-31-+10   (2017/05/22 L)  n°   34  |X.... | 158983| |   m10=|..X....2.XX......|  (..21. | 1.1..)|   m49=|.....xXx.|..........|xXXx..xXx.|xXx.......|..........| 
08-17-18-22-30-+5    (2017/05/24 M)  n°   35  |X.... | 125548| |   m10=|..X..XXX..X......|  (..11. | 12...)|   m49=|......xXx|......xXXx|.xXx.....x|Xx........|..........| 
08-09-17-28-40-+8    (2017/05/27 S)  n°   36  |X.... | 593903| |   m10=|..XX.X...X...X...|  (....1 | 211..)|   m49=|......xXX|x.....xXx.|.......xXx|.........x|Xx........| 
01-39-40-41-43-+9    (2017/05/29 L)  n°   37  |.X... | 951901| |   m10=|X............3X..|  (1...3 | ...1.)|   m49=|Xx.......|..........|..........|........xX|XXxXx.....| 
01-09-27-36-41-+1    (2017/05/31 M)  n°   38  |X.... | 712997| |   m10=|X..X.....X..XX...|  (1...1 | 1.11.)|   m49=|Xx.....xX|x.........|......xXx.|.....xXx..|xXx.......| 
23-34-36-44-45-+3    (2017/06/03 S)  n°   39  |..X.. |1216514| |   m10=|.......X...XX.XX.|  (..111 | ...11)|   m49=|.........|..........|..xXx.....|...xXxXx..|...xXXx...| 
12-17-21-41-49-+7    (2017/06/05 L)  n°   40  |...X. |1804966| |   m10=|....XX.X.....X..X|  (.11.1 | .1..1)|   m49=|.........|.xXx..xXx.|xXx.......|..........|xXx.....xX| 
21-22-36-40-43-+5    (2017/06/07 M)  n°   41  |.X... | 939695| |   m10=|.......2....XXX..|  (..2.2 | ...1.)|   m49=|.........|..........|xXXx......|.....xXx.x|XxxXx.....| 
